14945353826685	8335793094878,8336009691358,8336127918302,8165164024030	8164795875550,8164783325406
14945333412221	8335793094878,8336009691358,8336127918302,8165164024030	8164795875550,8164783325406
8164755931358	8164772151518	8164734271710,8164772151518
8164734271710	8164772151518	8164755931358,8164772151518
8164185735390	4746332536970,7981935395038	-
14947831677309	8164171219166,8163479683294,8163575726302,8164172824798,14947802481021	8164178198750
8164171219166	8475364720862,8475374977246,8340562575582,4745640771722,8339286589662,8164178198750	(empty)
8163911925982	8163911270622,8163909271774,8163934732510,8163934863582	8163909271774,8163911270622
8163909271774	8163911925982,8163911270622,8165631525086,8163936272606	8163911925982,8163911270622
8163911270622	8163911925982,8163909271774,8163934732510,8163934863582	8163911925982,8163909271774
8164772151518	(empty)	8164755931358,8164734271710
8163937386718	8339297796318,8165631525086,8163936272606,8164178198750	8164172824798
8163485319390	8164171219166,8163479683294,8163575726302,8164172824798,14947802481021	8164178198750
8664070717662	14933887877501,4745377087626,8163479683294	8163485319390
8165631525086	8339297796318,8163937386718,8163936272606,8164178198750	(empty)
8163936272606	8339297796318,8163937386718,8165631525086,8164178198750	(empty)
8165632671966	4743994507402,8664074092766,14933939028349,8475372093662	(empty)
8164178198750	8475364720862,8475374977246,8340562575582,8339286589662	8163937386718,8165631525086,8163936272606
14947780067709	8164171219166,8163479683294,8163575726302,8164172824798,14947802481021	8164178198750
8165635064030	8165634080990,8164819337438	8164772151518
8164172824798	8164171219166,8163479683294,8163575726302,14947802481021	8164178198750
8164795875550	8164783325406,8165164024030	8335793094878,8336009691358,8336127918302
8164783325406	8165164024030,8164795875550	8335793094878,8336009691358,8336127918302
8164166172894	8165631525086,8163936272606,8163937386718,8339297796318,8163909271774	8164178198750
8163934732510	8163911925982,8163911270622,8163909271774,8163934863582	8164178198750
8163931259102	8165631525086,8163936272606,8163937386718,8339297796318,8163909271774	8164178198750
8163934863582	8163911925982,8163911270622,8163909271774,8163934732510	8164178198750
8163479683294	8164171219166,8163575726302,8164172824798,14947802481021	8164178198750
